PropertyId,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate
2883,Yes,8,110,Apartment,3,12/28/2011 0:00
3963,Yes,4,50,Apartment,1,6/13/2013 0:00
3964,Yes,4,45,Apa,0,6/15/2013 0:00
4138,Yes,5,60,Apartment,2,8/7/2013 0:00
4181,Yes,4,45,Apa,0,9/7/2013 0:00
4259,Yes,6,80,Apartment,3,10/21/2013 0:00
4710,Yes,6,75,Apartment,3,4/15/2014 0:00
4789,Yes,4,45,Apartment,1,5/1/2014 0:00
4790,Yes,4,45,Apartment,1,5/1/2014 0:00
4787,Yes,6,45,Apartment,2,5/1/2014 0:00
4786,Yes,6,45,Apartment,2,5/1/2014 0:00
4788,Yes,4,45,Apartment,1,5/10/2014 0:00
4785,Yes,4,45,Apartment,1,5/25/2014 0:00
4869,Yes,5,70,,3,5/30/2014 0:00
4928,Yes,3,80,Apartment,2,6/11/2014 0:00
4952,Yes,6,89,Apa,3,7/3/2014 0:00
5930,Yes,4,40,Apartment,1,2/27/2015 0:00
5933,Yes,4,40,Apartment,1,2/28/2015 0:00
5932,Yes,6,65,,2,2/28/2015 0:00
5931,Yes,4,40,Apartment,1,2/28/2015 0:00
5934,Yes,4,40,Apartment,1,3/1/2015 0:00
6286,Yes,4,70,Apartment,2,5/29/2015 0:00
43571,No,4,30,Apartment,2,5/29/2015 0:00
6285,Yes,2,30,Apartment,0,5/29/2015 0:00
9973,Yes,6,60,Apa,2,2/14/2016 0:00
9973,Yes,7,60,Apa,2,2/14/2016 0:00
9971,Yes,4,70,Apartment,2,2/23/2016 0:00
12688,Yes,6,70,Apa,2,5/5/2016 0:00
14947,Yes,4,45,Apa,1,5/6/2016 0:00
21699,Yes,4,69,Apartment,2,5/25/2016 0:00
21699,Yes,5,69,Apa,2,5/25/2016 0:00
42608,Yes,4,60,Apartment,2,11/16/2016 0:00
42607,Yes,4,55,Apartment,1,11/18/2016 0:00
42674,Yes,2,40,Apa,1,2/25/2017 0:00
42605,Yes,6,70,Apartment,4,2/26/2017 0:00
42652,Yes,6,70,Apa,3,2/27/2017 0:00
42673,Yes,6,70,Apartment,4,3/1/2017 0:00
42684,Yes,3,70,Apartment,1,3/7/2017 0:00
43073,No,1,0,,0,3/13/2017 0:00
43062,No,1,0,,0,3/13/2017 12:00
43063,No,1,0,,0,3/13/2017 12:00
42694,No,1,0,Apa,0,6/16/2017 0:00
43506,No,1,0,Apartment,0,6/16/2017 0:00
43444,No,1,0,Apartment,0,6/16/2017 0:00
42807,Yes,5,64,Apartment,4,6/27/2017 0:00
42856,Yes,3,40,Apa,0,11/5/2017 0:00
42852,Yes,7,100,Apartment,4,11/9/2017 0:00
42888,Yes,5,64,Apartment,3,2/24/2018 0:00
43002,No,2,20,Apartment,0,2/27/2018 0:00
43059,No,2,20,Apartment,0,2/27/2018 0:37
43229,No,7,22,Apartment,3,4/8/2018 0:00
42926,No,8,22,Apartment,3,4/8/2018 0:00
43229,No,8,22,,3,4/8/2018 0:00
42962,Yes,6,81,Apartment,3,4/21/2018 0:00
42954,Yes,3,80,Apa,2,5/2/2018 0:00
42990,Yes,4,40,Apa,2,5/26/2018 0:00
42994,Yes,5,64,Apartment,4,7/3/2018 0:00
42996,Yes,4,50,Apartment,2,8/9/2018 0:00
42996,Yes,5,50,Apartment,2,8/9/2018 0:00
42995,Yes,4,50,,2,8/15/2018 0:00
42997,Yes,4,45,Apartment,2,10/24/2018 0:00
42998,Yes,4,45,Apa,2,10/24/2018 0:00
43004,Yes,4,50,Apa,2,12/20/2018 0:00
43003,Yes,4,50,Apa,2,12/20/2018 0:00
43007,Yes,2,24,Apartment,0,1/16/2019 0:00
43006,Yes,5,77,Apartment,3,1/16/2019 0:00
43009,Yes,4,67,Apartment,2,2/2/2019 0:00
43015,Yes,5,41,Apartment,2,2/14/2019 0:00
43016,Yes,5,122,Apartment,3,2/25/2019 0:00
43016,Yes,6,122,Apartment,3,2/25/2019 0:00
43019,Yes,6,73,Apa,4,4/2/2019 0:00
43024,Yes,4,49,Apartment,2,5/3/2019 0:00
43025,Yes,4,60,Apa,2,5/4/2019 0:00
43031,Yes,8,64,Apa,3,5/22/2019 0:00
43028,Yes,8,59,Apartment,3,5/24/2019 0:00
43026,Yes,5,110,Apa,4,5/27/2019 0:00
43026,Yes,6,110,Apartment,4,5/27/2019 0:00
43030,Yes,8,80,Apartment,3,5/31/2019 0:00
43030,Yes,9,80,Apartment,3,5/31/2019 0:00
43036,Yes,12,144,Apa,4,6/6/2019 0:00
43033,Yes,7,80,Apartment,3,6/12/2019 0:00
43038,Yes,6,73,Apartment,2,6/13/2019 0:00
43034,Yes,12,163,Apa,4,6/14/2019 0:00
43037,Yes,8,106,Apartment,3,6/21/2019 0:00
43035,Yes,6,74,Apartment,2,6/21/2019 0:00
43041,Yes,4,50,Apartment,2,8/2/2019 0:00
43042,Yes,4,50,Apartment,2,8/2/2019 0:00
43043,Yes,4,50,,2,8/2/2019 0:00
43044,Yes,4,50,Apartment,2,8/2/2019 0:00
43046,Yes,9,120,,3,8/23/2019 0:00
43048,Yes,8,119,Apartment,3,10/20/2019 0:00
43056,Yes,4,50,Apartment,1,10/25/2019 0:00
43056,Yes,5,50,Apartment,1,10/25/2019 0:00
43053,Yes,2,67,Apartment,1,10/28/2019 0:00
43049,Yes,8,127,Apartment,3,10/28/2019 0:00
