propertyType,checkIn,checkOut,Cancellation Policies,Check in after,Check out before,personCapacity,roomType,Bedrooms,baths,rating_guestSatisfaction,location,Base_Price,Cleaning_Fee,price_cleaningFee,subDescription/title,timestamp,iosLink,url
Private room in home,12/31/2024,1/1/2025,Strict, 12:00 pm , 10:00 AM,2,Private room,1,,4.78,Barcelona,$33.00 ,Cleaning fee,$5.00 ,"Room in Barcelona, Spain",2024-10-08T18:20:51.748Z,airbnb://rooms/1133429553177460667,https://www.airbnb.com/rooms/1133429553177460667?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Room in hostel,12/31/2024,1/1/2025,Moderate, 2:00 pm, 11:00 AM,1,Hotel room,1,7,4.52,El Prat de Llobregat,$34.00 ,,,"Room in hostel in El Prat de Llobregat, Spain",2024-10-08T18:20:28.479Z,airbnb://hotels/24533837,https://www.airbnb.com/rooms/24533837?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Room in hostel,12/31/2024,1/1/2025,Moderate, 2:00 pm, 11:00 AM,6,Hotel room,1,7,4.5,El Prat de Llobregat,$34.00 ,,,"Room in hostel in El Prat de Llobregat, Spain",2024-10-08T18:20:32.839Z,airbnb://hotels/24388244,https://www.airbnb.com/rooms/24388244?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Room in hostel,12/31/2024,1/1/2025,Moderate, 2:00 pm, 11:00 AM,6,Hotel room,1,7,4.6,El Prat de Llobregat,$36.00 ,,,"Room in hostel in El Prat de Llobregat, Spain",2024-10-08T18:20:44.364Z,airbnb://hotels/24388903,https://www.airbnb.com/rooms/24388903?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Strict, 2:00 pm, 12:00 PM,1,Private room,1,,4.69,L'Hospitalet de Llobregat,$38.00 ,,,"Room in L'Hospitalet de Llobregat, Spain",2024-10-08T18:20:29.072Z,airbnb://rooms/15924643,https://www.airbnb.com/rooms/15924643?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Flexible, ,,1,Private room,1,,4.9,Castelldefels,$38.00 ,,,"Room in Castelldefels, Spain",2024-10-08T18:20:30.186Z,airbnb://rooms/929475558607641561,https://www.airbnb.com/rooms/929475558607641561?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Moderate, 1:00 PM, 11:00 AM,2,Private room,1,,4.86,Castelldefels,$38.00 ,,,"Room in Castelldefels, Spain",2024-10-08T18:20:33.553Z,airbnb://rooms/21787546,https://www.airbnb.com/rooms/21787546?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in home,12/31/2024,1/1/2025,Flexible, 3:00 PM,,1,Private room,1,,4.95,Almeda Mercader,$44.00 ,Cleaning fee,$11.00 ,"Room in Almeda Mercader, Spain",2024-10-08T18:20:28.569Z,airbnb://rooms/1013079336018715533,https://www.airbnb.com/rooms/1013079336018715533?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Moderate, 5:00 PM , 12:00 PM,1,Private room,1,,4.9,Barcelona,$44.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:28.840Z,airbnb://rooms/952700028715241131,https://www.airbnb.com/rooms/952700028715241131?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Flexible, 5:00 PM, 11:00 AM,1,Private room,1,,4.88,Barcelona,$44.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:44.250Z,airbnb://rooms/733053314209654368,https://www.airbnb.com/rooms/733053314209654368?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Strict,2:00:00 PM,,2,Private room,1,,4.78,Gavà,$44.00 ,,,"Room in Gavà, Spain",2024-10-08T18:20:45.979Z,airbnb://rooms/994279800709968334,https://www.airbnb.com/rooms/994279800709968334?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Strict, 3:00 PM, 11:00 AM,2,Private room,1,,4.7,Barcelona,$49.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:51.253Z,airbnb://rooms/1112360732655252676,https://www.airbnb.com/rooms/1112360732655252676?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Strict, 4:00 PM , 11:00 AM,2,Private room,1,,,Barcelona,$49.00 ,Cleaning fee,$22.00 ,"Room in Barcelona, Spain",2024-10-08T18:20:51.681Z,airbnb://rooms/1258596944815130520,https://www.airbnb.com/rooms/1258596944815130520?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Flexible, 3:00 PM,,2,Private room,4,2,4,Barcelona,$52.00 ,,,"Private room in rental unit in Barcelona, Spain",2024-10-08T18:20:31.653Z,airbnb://rooms/1177726159690920055,https://www.airbnb.com/rooms/1177726159690920055?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Moderate, 6:00 PM, 12:00 PM,1,Private room,1,1,4.69,Barcelona,$52.00 ,Cleaning fee,$30.00 ,"Private room in rental unit in Barcelona, Spain",2024-10-08T18:20:50.153Z,airbnb://rooms/21689268,https://www.airbnb.com/rooms/21689268?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Flexible, 3:00 PM , 11:00 AM,1,Private room,2,,4.94,El Prat de Llobregat,$53.00 ,,,"Room in El Prat de Llobregat, Spain",2024-10-08T18:20:30.449Z,airbnb://rooms/1142011705936778986,https://www.airbnb.com/rooms/1142011705936778986?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Strict, 2:00 pm, 11:00 AM,1,Private room,1,,4.66,Barcelona,$54.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:44.199Z,airbnb://rooms/661678370861367884,https://www.airbnb.com/rooms/661678370861367884?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
